case,location,fatalities,injured,total_victims,place,age_of_shooter,race,gender,type,year
Watkins Glen killings,"Watkins Glen, New York",5,0,5,Other,50,White,M,Mass,1992
Lindhurst High School shooting,"Olivehurst, California",4,10,14,School,20,White,M,Mass,1992
Royal Oak postal shootings,"Royal Oak, Michigan",5,5,10,Workplace,31,White,M,Mass,1991
University of Iowa shooting,"Iowa City, Iowa",6,1,7,School,28,Asian,M,Spree,1991
Luby's massacre,"Killeen, Texas",24,20,44,Other,35,White,M,Mass,1991
GMAC massacre,"Jacksonville, Florida",10,4,14,Other,42,Black,M,Mass,1990
Standard Gravure shooting,"Louisville, Kentucky",9,12,21,Workplace,47,White,M,Mass,1989
Stockton schoolyard shooting,"Stockton, California",6,29,35,School,26,White,M,Mass,1989
ESL shooting,"Sunnyvale, California",7,4,11,Workplace,39,White,M,Mass,1988
Shopping centers spree killings,"Palm Bay, Florida",6,14,20,Other,59,White,M,Spree,1987
United States Postal Service shooting,"Edmond, Oklahoma",15,6,21,Workplace,44,White,M,Mass,1986
San Ysidro McDonald's massacre,"San Ysidro, California",22,19,41,Other,41,White,M,Mass,1984
Dallas nightclub shooting,"Dallas, Texas",6,1,7,Other,39,White,M,Mass,1984
Welding shop shooting,"Miami, Florida",8,3,11,Other,51,White,M,Mass,1982
